hedId	rdfs:label	Type	dc:description
	boolProperty	AnnotationProperty	Indicates that the schema attribute represents something that is either true or false and does not have a value. Attributes without this value are assumed to have string values.
	unitClassProperty	AnnotationProperty	Indicates that the schema attribute is meant to be applied to unit classes.
	unitModifierProperty	AnnotationProperty	Indicates that the schema attribute is meant to be applied to unit modifier classes.
	unitProperty	AnnotationProperty	Indicates that the schema attribute is meant to be applied to units within a unit class.
	valueClassProperty	AnnotationProperty	Indicates that the schema attribute is meant to be applied to value classes.
