hedId	rdfs:label	omn:SubClassOf	Attributes	dc:description
	dateTimeClass	TestlibValueClass	allowedCharacter=digits, allowedCharacter=T, allowedCharacter=-, allowedCharacter=:	Date-times should conform to ISO8601 date-time format YYYY-MM-DDThh:mm:ss. Any variation on the full form is allowed.
	nameClass	TestlibValueClass	allowedCharacter=letters, allowedCharacter=digits, allowedCharacter=_, allowedCharacter=-	Value class designating values that have the characteristics of node names. The allowed characters are alphanumeric, hyphen, and underbar.
	numericClass	TestlibValueClass	allowedCharacter=digits, allowedCharacter=E, allowedCharacter=e, allowedCharacter=+, allowedCharacter=-, allowedCharacter=.	Value must be a valid numerical value.
	posixPath	TestlibValueClass	allowedCharacter=digits, allowedCharacter=letters, allowedCharacter=/, allowedCharacter=:	Posix path specification.
	textClass	TestlibValueClass	allowedCharacter=letters, allowedCharacter=digits, allowedCharacter=blank, allowedCharacter=+, allowedCharacter=-, allowedCharacter=:, allowedCharacter=;, allowedCharacter=., allowedCharacter=/, allowedCharacter=(, allowedCharacter=), allowedCharacter=?, allowedCharacter=*, allowedCharacter=%, allowedCharacter=$, allowedCharacter=@	Value class designating values that have the characteristics of text such as in descriptions.
